text,label,stars
映像がとても美しくて最後まで引き込まれた,1,5
主演の演技が素晴らしく余韻が残る作品だった,1,5
音楽が物語にぴったりで感動した,1,4
脚本がよく練られていてテンポも良い,1,4
キャラクターの成長が丁寧に描かれていて好感が持てた,1,4
期待以上の出来でまた観たくなる,1,5
美術と照明が高水準で世界観に没入できた,1,4
ストーリーが分かりやすく家族で楽しめる,1,4
伏線回収が見事でスッキリした,1,5
淡い恋愛描写が自然で心地よい,1,4
驚きの展開があり飽きずに観られた,1,4
セリフが生き生きしていて魅力的だった,1,4
笑いどころと泣きどころのバランスが良い,1,4
映像表現が独創的で記憶に残る,1,5
アクションがキレがありカタルシスがあった,1,4
役者の掛け合いが自然で心温まった,1,4
観客を意識した演出で楽しめた,1,4
ラストシーンが感動的で涙が止まらなかった,1,5
心地よい余韻が残り何度も観たくなる,1,5
シンプルだが誠実な物語に胸を打たれた,1,4
序盤から退屈で途中で眠くなってしまった,0,2
ストーリーが浅く説得力に欠ける,0,2
演技が大げさで感情移入できなかった,0,1
音が大きいだけでうるさく感じた,0,1
テンポが悪く中だるみがひどい,0,2
期待外れで残念だった,0,1
キャラクターが記号的で魅力がない,0,2
展開が読めてしまい驚きがなかった,0,2
編集が雑で場面転換が不自然,0,1
説明過多で想像の余地がない,0,2
